record_id,unit_expression,status,proposed_unit_uri,quantity_kind_uris,dimension_vector_uri,local_evidence,published_evidence,reference_unit_uri,conversion_value,conversion_equation,conversion_exact,conversion_source,qk_rationale,qk_relation,dv_rationale,description_sources,description_rationale,semantic_hypotheses,confidence,issues,recommendation
unit-0001,KiloM-PER-KiloM2,ready-for-review,http://qudt.org/vocab/unit/KiloM-PER-KiloM2,http://qudt.org/vocab/quantitykind/InverseLength,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:InverseLength, and qkdv:A0E0L-1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/PER-M,multiplier=0.001; offset=0,KiloM^1=1000.0^1 × KiloM^-2=1000.0^-2; product = 0.001 reciprocal metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,The preserved area/volume or length/area factorization reduces to inverse length; InverseLength is the current generic commensurate QUDT kind.,unitForQuantityKind,Vector composition KiloM^1 (A0E0L1I0M0H0T0D0) + KiloM^-2 (A0E0L1I0M0H0T0D0) = A0E0L-1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:InverseLength,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind InverseLength; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:InverseLength and qkdv:A0E0L-1I0M0H0T0D0.
unit-0002,M2-PER-M3,ready-for-review,http://qudt.org/vocab/unit/M2-PER-M3,http://qudt.org/vocab/quantitykind/InverseLength,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:InverseLength, and qkdv:A0E0L-1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/PER-M,multiplier=1.0; offset=0,M^2=1.0^2 × M^-3=1.0^-3; product = 1.0 reciprocal metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,The preserved area/volume or length/area factorization reduces to inverse length; InverseLength is the current generic commensurate QUDT kind.,unitForQuantityKind,Vector composition M^2 (A0E0L1I0M0H0T0D0) + M^-3 (A0E0L1I0M0H0T0D0) = A0E0L-1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:InverseLength,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind InverseLength; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:InverseLength and qkdv:A0E0L-1I0M0H0T0D0.
unit-0003,KiloJ-PER-M2,ready-for-review,http://qudt.org/vocab/unit/KiloJ-PER-M2,http://qudt.org/vocab/quantitykind/EnergyFluence|http://qudt.org/vocab/quantitykind/EnergyPerArea|http://qudt.org/vocab/quantitykind/RadiantFluence|http://qudt.org/vocab/quantitykind/StrainEnergyReleaseRate,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, all four reused QuantityKinds, and qkdv:A0E0L0I0M1H0T-2D0 exist. J-PER-M2, GigaJ-PER-M2, and MilliJ-PER-M2 use all four QuantityKinds; MegaJ-PER-M2 uses only EnergyPerArea and StrainEnergyReleaseRate.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; all four reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/J-PER-M2,multiplier=1000.0; offset=0,KiloJ^1=1000.0^1 × M^-2=1.0^-2; product = 1000.0 joule per square metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"EnergyPerArea is the generic kind. EnergyFluence, RadiantFluence, and StrainEnergyReleaseRate are specializations used by the base, giga-, and milli-joule-per-square-metre precedents. Prefix scale does not change physical applicability; the two-kind MegaJ-PER-M2 assignment is treated as incomplete curation.",unitForQuantityKind,Vector composition KiloJ^1 (A0E0L2I0M1H0T-2D0) + M^-2 (A0E0L1I0M0H0T0D0) = A0E0L0I0M1H0T-2D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and four same-expression-family precedents,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.","Selected EnergyPerArea and its EnergyFluence, RadiantFluence, and StrainEnergyReleaseRate specializations to match J-PER-M2, GigaJ-PER-M2, and MilliJ-PER-M2. The user explicitly approved retaining all four after reviewing the inconsistent MegaJ-PER-M2 precedent.",high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing the four approved QuantityKinds and qkdv:A0E0L0I0M1H0T-2D0.
unit-0004,W-HR-PER-M2,existing-unit,http://qudt.org/vocab/unit/W-HR-PER-M2,http://qudt.org/vocab/quantitykind/EnergyPerArea,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0,QUDT 6b8df6f4 aggregate graph contains unit:W-HR-PER-M2. The exact submitted URI and expression are present.,Live QUDT SPARQL 2026-09-07 returns unit:W-HR-PER-M2. The exact submitted URI is published.,http://qudt.org/vocab/unit/J-PER-M2,multiplier=3600.0; offset=0,1 W × 3600 s / 1 m² = 3600 J/m²,true,Current local and published QUDT resource unit:W-HR-PER-M2|https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8,Existing current QUDT assignment retained; this review does not remodel an existing resource.,unitForQuantityKind,Existing current QUDT resource declares qkdv:A0E0L0I0M1H0T-2D0; local and published values agree.,Current local and published QUDT resource unit:W-HR-PER-M2,No new description is drafted for an existing canonical resource.,Existing-resource identity controls disposition; no new semantic assertion is made.,high,None; exact submitted resource exists locally and in the published graph.,Reuse unit:W-HR-PER-M2; do not emit a duplicate Unit.
unit-0005,KiloJ-PER-M2-DAY,ready-for-review,http://qudt.org/vocab/unit/KiloJ-PER-M2-DAY,http://qudt.org/vocab/quantitykind/PowerPerArea,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:PowerPerArea, and qkdv:A0E0L0I0M1H0T-3D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/W-PER-M2,multiplier=0.011574074074074074074074074074074074074074074074074; offset=0,KiloJ^1=1000.0^1 × M^-2=1.0^-2 × DAY^-1=86400.0^-1; product = 0.011574074074074074074074074074074074074074074074074 watt per square metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Energy divided by area and time is power per area; the generic QUDT kind avoids assuming heat or radiant transfer.,unitForQuantityKind,Vector composition KiloJ^1 (A0E0L2I0M1H0T-2D0) + M^-2 (A0E0L1I0M0H0T0D0) + DAY^-1 (A0E0L0I0M0H0T1D0) = A0E0L0I0M1H0T-3D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:PowerPerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind PowerPerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:PowerPerArea and qkdv:A0E0L0I0M1H0T-3D0.
unit-0006,MegaJ-PER-M2-YR,ready-for-review,http://qudt.org/vocab/unit/MegaJ-PER-M2-YR,http://qudt.org/vocab/quantitykind/PowerPerArea,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:PowerPerArea, and qkdv:A0E0L0I0M1H0T-3D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/W-PER-M2,multiplier=0.031688087814028950237026896848936547772961188430045; offset=0,MegaJ^1=1000000.0^1 × M^-2=1.0^-2 × YR^-1=31557600.0^-1; product = 0.031688087814028950237026896848936547772961188430045 watt per square metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Energy divided by area and time is power per area; the generic QUDT kind avoids assuming heat or radiant transfer.,unitForQuantityKind,Vector composition MegaJ^1 (A0E0L2I0M1H0T-2D0) + M^-2 (A0E0L1I0M0H0T0D0) + YR^-1 (A0E0L0I0M0H0T1D0) = A0E0L0I0M1H0T-3D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:PowerPerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind PowerPerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:PowerPerArea and qkdv:A0E0L0I0M1H0T-3D0.
unit-0007,MicroMOL-PER-L-DAY,ready-for-review,http://qudt.org/vocab/unit/MicroMOL-PER-L-DAY,http://qudt.org/vocab/quantitykind/CatalyticActivityConcentration,http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:CatalyticActivityConcentration, and qkdv:A1E0L-3I0M0H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/MOL-PER-M3-SEC,multiplier=0.000000011574074074074074074074074074074074074074074074074; offset=0,MicroMOL^1=0.000001^1 × L^-1=0.001^-1 × DAY^-1=86400.0^-1; product = 0.000000011574074074074074074074074074074074074074074074074 mole per cubic metre second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Current QUDT assigns MOL-PER-M3-SEC and scaled amount-per-volume-time analogs to CatalyticActivityConcentration.,unitForQuantityKind,Vector composition MicroMOL^1 (A1E0L0I0M0H0T0D0) + L^-1 (A0E0L3I0M0H0T0D0) + DAY^-1 (A0E0L0I0M0H0T1D0) = A1E0L-3I0M0H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:CatalyticActivityConcentration,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind CatalyticActivityConcentration; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:CatalyticActivityConcentration and qkdv:A1E0L-3I0M0H0T-1D0.
unit-0008,GM-PER-YR,ready-for-review,http://qudt.org/vocab/unit/GM-PER-YR,http://qudt.org/vocab/quantitykind/MassPerTime,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassPerTime, and qkdv:A0E0L0I0M1H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM-PER-SEC,multiplier=0.000000000031688087814028950237026896848936547772961188430045; offset=0,GM^1=0.001^1 × YR^-1=31557600.0^-1; product = 0.000000000031688087814028950237026896848936547772961188430045 kilogram per second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression is mass divided by time, matching the current generic MassPerTime kind.",unitForQuantityKind,Vector composition GM^1 (A0E0L0I0M1H0T0D0) + YR^-1 (A0E0L0I0M0H0T1D0) = A0E0L0I0M1H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassPerTime,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassPerTime; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassPerTime and qkdv:A0E0L0I0M1H0T-1D0.
unit-0009,M2-PER-DAY,ready-for-review,http://qudt.org/vocab/unit/M2-PER-DAY,http://qudt.org/vocab/quantitykind/AreaPerTime,http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:AreaPerTime, and qkdv:A0E0L2I0M0H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M2-PER-SEC,multiplier=0.000011574074074074074074074074074074074074074074074074; offset=0,M^2=1.0^2 × DAY^-1=86400.0^-1; product = 0.000011574074074074074074074074074074074074074074074074 square metre per second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression is area divided by time, matching the current generic AreaPerTime kind.",unitForQuantityKind,Vector composition M^2 (A0E0L1I0M0H0T0D0) + DAY^-1 (A0E0L0I0M0H0T1D0) = A0E0L2I0M0H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:AreaPerTime,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind AreaPerTime; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:AreaPerTime and qkdv:A0E0L2I0M0H0T-1D0.
unit-0010,KiloM3,ready-for-review,http://qudt.org/vocab/unit/KiloM3,http://qudt.org/vocab/quantitykind/Volume,http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:Volume, and qkdv:A0E0L3I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M3,multiplier=1000000000.0; offset=0,KiloM^3=1000.0^3; product = 1000000000.0 cubic metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,The powered length expression is a volume and matches the current Volume kind.,unitForQuantityKind,Vector composition KiloM^3 (A0E0L1I0M0H0T0D0) = A0E0L3I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:Volume,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind Volume; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:Volume and qkdv:A0E0L3I0M0H0T0D0.
